Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
Chemicals,PIIND,12-11-2025,3614.669921875,3571.070068359375,3563.97998046875,3556.77001953125
Chemicals,PIIND,13-11-2025,3594.75,3581.110107421875,3578.449951171875,3557.860107421875
Chemicals,SOLARINDS,07-11-2025,13724.83984375,13238.330078125,13690.0302734375,6598.7001953125
Chemicals,SOLARINDS,10-11-2025,13845.51953125,13395.0302734375,13759.23046875,6607.97021484375
Chemicals,SOLARINDS,11-11-2025,13788.669921875,13425.08984375,13667.4296875,6617.7099609375
Chemicals,SOLARINDS,12-11-2025,13821.2802734375,13129.8203125,13771.26953125,6626.4599609375
Chemicals,SOLARINDS,13-11-2025,13682.16015625,12960.98046875,13699.1103515625,6635.22998046875
Chemicals,SRF,07-11-2025,2939.800048828125,2914.02001953125,2903.47998046875,2351.820068359375
Chemicals,SRF,10-11-2025,2878.760009765625,2910.320068359375,2858.429931640625,2351.340087890625
Chemicals,SRF,11-11-2025,2929.85009765625,2841.7900390625,2871.27001953125,2351.889892578125
Chemicals,SRF,12-11-2025,2850.219970703125,2871.449951171875,2875.840087890625,2352.169921875
Chemicals,SRF,13-11-2025,2820.8798828125,2844.820068359375,2832.1298828125,2352.199951171875
Chemicals,UPL,07-11-2025,718.530029296875,725.3200073242188,702.72998046875,564.739990234375
Chemicals,UPL,10-11-2025,725.510009765625,717.8200073242188,685.3599853515625,564.52001953125
Chemicals,UPL,11-11-2025,708.1699829101562,722.3800048828125,707.0800170898438,564.3300170898438
Chemicals,UPL,12-11-2025,715.8900146484375,713.3599853515625,708.0,564.02001953125
Chemicals,UPL,13-11-2025,712.1400146484375,715.3200073242188,687.4299926757812,563.8400268554688
FMCG,BRITANNIA,07-11-2025,5763.2900390625,5866.7998046875,5875.66015625,4802.41015625
FMCG,BRITANNIA,10-11-2025,5766.169921875,5866.35009765625,5801.02978515625,4803.58984375
FMCG,BRITANNIA,11-11-2025,5759.93017578125,5879.60986328125,5851.919921875,4804.419921875
FMCG,BRITANNIA,12-11-2025,5721.990234375,5832.72021484375,5801.60009765625,4805.2099609375
FMCG,BRITANNIA,13-11-2025,5746.4599609375,5839.25,5805.77978515625,4806.39013671875
FMCG,HINDUNILVR,07-11-2025,2416.3701171875,2393.3701171875,2421.3798828125,2290.199951171875
FMCG,HINDUNILVR,10-11-2025,2427.1201171875,2412.139892578125,2405.639892578125,2290.2099609375
FMCG,HINDUNILVR,11-11-2025,2431.3798828125,2404.010009765625,2399.1201171875,2290.159912109375
FMCG,HINDUNILVR,12-11-2025,2413.93994140625,2407.0,2405.699951171875,2290.090087890625
FMCG,HINDUNILVR,13-11-2025,2412.3798828125,2412.81005859375,2404.909912109375,2290.080078125
FMCG,ITC,07-11-2025,416.510009765625,415.2099914550781,413.69000244140625,384.739990234375
